time,beta,temp
735,1.441570267,10.69
736,1.460132271,12.97
737,1.477107614,15.83
738,1.492360309,17.25
739,1.505817741,18.95
740,1.517471001,14.42
741,1.527366817,13.07
742,1.535596311,18.48
743,1.542281255,19.72
744,1.547561228,14.07
745,1.55158104,13.4
746,1.554481179,14.05
747,1.556391135,9.5
748,1.557425663,7.36
749,1.557682097,9.49
750,1.557241529,16.6
751,1.556170225,19.27
752,1.554522514,18.44
753,1.552342445,14.38
754,1.549668044,15.28
755,1.546532393,14.21
756,1.542966425,9.79
757,1.538999692,10.64
758,1.534661189,10.58
759,1.529979944,9.6
760,1.524984658,5.95
761,1.519703642,6.84
762,1.514164343,9.45
763,1.508393198,11.97
764,1.502415031,15.07
765,1.496253237,14.39
766,1.489929125,15.55
767,1.483462885,16.5
768,1.476872757,9.45
769,1.470175654,6.58
770,1.463387683,6.52
771,1.456523746,7.34
772,1.449598342,7.49
773,1.442625776,11.68
774,1.435619503,7.95
775,1.428593978,5.93
776,1.42156285,7.34
777,1.414540321,11.29
778,1.407540955,11.18
779,1.400579438,12.32
780,1.393670447,11.11
781,1.386829123,5.38
782,1.380070575,1.72
783,1.373410359,-2.72
784,1.366864115,-6.19
785,1.360447027,0.85
786,1.354175314,1.07
787,1.348064467,8.02
788,1.342130885,7.72
789,1.336390376,-0.35
790,1.330859423,-2.04
791,1.32555481,-0.79
792,1.320493199,0.66
793,1.315691561,0.84
794,1.31116733,0.02
795,1.306937918,-0.75
796,1.303021014,0.96
797,1.299434781,4.43
798,1.296196297,4.68
799,1.293323636,3.53
800,1.290833749,5.02
801,1.288742922,6.08
802,1.287066832,9.93
803,1.285819381,6.64
804,1.285012722,7.78
805,1.284656256,10.61
806,1.284756586,6.87
807,1.285316676,3.06
808,1.286335021,3.93
809,1.287804574,-0.92
810,1.289712787,-3.07
811,1.292041034,-4.51
812,1.294763312,4.11
813,1.297845677,4.38
814,1.301247671,0.3
815,1.304921806,5.53
816,1.30881241,0.35
817,1.312858224,-2.41
818,1.3169927,1.3
819,1.321146116,-1.32
820,1.325245917,-4.24
821,1.329219297,-4.67
822,1.332994461,-5.38
823,1.336503148,-7.49
824,1.339681447,-6.02
825,1.342471287,-6.26
826,1.344822034,-4.96
827,1.346689895,-6.8
828,1.348039955,-5.91
829,1.348844931,-1.84
830,1.349085361,1.09
831,1.348748758,2.22
832,1.347829759,-5.83
833,1.346328452,-17.85
834,1.344250515,-11.65
835,1.341605619,-11.5
836,1.338407561,-9.06
837,1.334673017,0.49
838,1.330421284,-1.97
839,1.325673714,-9.68
840,1.320453778,-17.57
841,1.314786196,-18.87
842,1.308696836,-14.15
843,1.30221276,-9.6
844,1.295361817,-6.8
845,1.288172364,-5.99
846,1.280673385,-6.46
847,1.272893965,-3.78
848,1.264862984,-1.54
849,1.256609306,-2.91
850,1.248160832,-4.11
851,1.239545539,1.52
852,1.230789438,-0.97
853,1.221917503,2.36
854,1.212953359,2.88
855,1.203918979,-0.08
856,1.194834061,0.71
857,1.185716897,-2.25
858,1.176583193,-7.62
859,1.16744671,-5.82
860,1.15831922,-2.61
861,1.149210446,2.24
862,1.140127733,-4.06
863,1.13107761,-9.66
864,1.122064404,-10.2
865,1.113091007,-10.93
866,1.104159951,-8.13
867,1.095272355,-14.44
868,1.086429387,-7.57
869,1.077631868,-4.2
870,1.068880439,-0.49
871,1.060176805,-1.2
872,1.051522702,2.26
873,1.042920761,10.93
874,1.034374051,7.99
875,1.025886908,2.91
876,1.017464347,1.66
877,1.009111971,2.65
878,1.00083638,1.75
879,0.992644362,0.67
880,0.984543346,0.1
881,0.976541199,5.14
882,0.968645513,11.37
883,0.960864156,5.11
884,0.953204736,-1.34
885,0.945674621,-3.8
886,0.93828053,0.45
887,0.931029052,1.08
888,0.923926063,3.36
889,0.916976817,6.15
890,0.91018568,14.14
891,0.903557047,16.54
892,0.89709387,10.42
893,0.890798874,7.77
894,0.884674042,9.05
895,0.878720917,9.96
896,0.872940086,10.58
897,0.867332138,12.28
898,0.861896172,12.68
899,0.856631964,9.63
900,0.851537853,7.93
901,0.84661226,3.46
902,0.841852769,1.45
903,0.837256752,1.87
904,0.832820915,4.23
905,0.828541599,11.46
906,0.824414581,9.29
907,0.820435017,2.76
908,0.816597506,2.02
909,0.812895909,6.81
910,0.809323855,5.69
911,0.80587396,6.05
912,0.802538618,9.46
913,0.799309053,12.2
914,0.796176866,10.84
915,0.793132648,5.89
916,0.790167049,4.18
917,0.787270784,9.83
918,0.784434535,8.87
919,0.781649791,5.09
920,0.778908931,9.39
921,0.776205301,6.44
922,0.773533687,4.71
923,0.770890661,1.18
924,0.768274568,9.99
925,0.765685923,7.25
926,0.763126999,4.57
927,0.760602362,10.3
928,0.758118115,13.09
929,0.755681947,14.86
930,0.753302395,17.69
931,0.750989363,18.39
932,0.748752482,17.8
933,0.746601485,14.73
934,0.744545855,13.72
935,0.74259378,13.32
936,0.740753084,13.07
937,0.73902972,14.2
938,0.737428904,18.18
939,0.735954009,19.18
940,0.73460751,16
941,0.733390205,11.66
942,0.732302018,10
943,0.731341034,9.1
944,0.7305049,9.11
945,0.729790092,8.42
946,0.729191646,10.09
947,0.728704415,12.2
948,0.728321761,13.55
949,0.728036776,12.57
950,0.727841362,17.44
951,0.727727249,18.9
952,0.727685288,15.31
953,0.727705836,15.84
954,0.727778785,16.66
955,0.727893598,16.64
956,0.728039965,15.19
957,0.728206396,12.64
958,0.728382312,8.08
959,0.728556469,9.87
960,0.72871808,12.29
961,0.728856213,11.95
962,0.728960298,12.59
963,0.729020342,14.5
964,0.72902672,15.01
965,0.728970259,15.62
966,0.728842318,18.2
967,0.72863552,20.39
968,0.728342965,20.99
969,0.727959111,21.25
970,0.727478825,21.72
971,0.726898976,20.78
972,0.726217195,20.26
973,0.725432724,20.23
974,0.724546179,21.81
975,0.723559268,21.05
976,0.722475737,19.51
977,0.721300222,19.02
978,0.720038943,21.5
979,0.718698964,20.57
980,0.717288978,20.01
981,0.71581807,20.93
982,0.714296326,17.58
983,0.712734349,19.23
984,0.711142831,24.53
985,0.709532954,27.3
986,0.707915671,27.02
987,0.706301719,26.62
988,0.704701461,25.79
989,0.703125067,25.81
990,0.701581836,26.34
991,0.700080737,24.98
992,0.698630281,24.89
993,0.697237946,25.4
994,0.695911027,25.78
995,0.694656275,27.15
996,0.693479635,23.72
997,0.692386866,26.44
998,0.691383183,24.28
999,0.690473594,22.67
1000,0.68966274,27.3
1001,0.688954927,26.35
1002,0.68835441,24.71
1003,0.687865026,22.19
1004,0.687490776,20.79
1005,0.68723511,21.81
1006,0.687101617,19.93
1007,0.687093601,18.95
1008,0.687214062,17.6
1009,0.687466033,19.79
1010,0.687852062,24.2
1011,0.688374363,25.94
1012,0.689034931,24.72
1013,0.689835213,24.11
1014,0.690776095,22.76
1015,0.691857964,24.77
1016,0.693080433,27.41
1017,0.694442615,26.2
1018,0.695942283,25.23
1019,0.697576962,23.7
1020,0.699343115,20.73
1021,0.701235779,21.13
1022,0.703249484,25.55
1023,0.705377676,25.3
1024,0.707612887,25.55
1025,0.709946729,26.57
1026,0.712370038,29.09
1027,0.714872748,29.16
1028,0.717444666,28.68
1029,0.720074937,28.61
1030,0.722752661,24.88
1031,0.725466922,24.6
1032,0.728207357,24.97
1033,0.730964258,24.27
1034,0.73372864,22.02
1035,0.73649288,21.81
1036,0.739250831,23.36
1037,0.74199827,24.33
1038,0.74473308,25.04
1039,0.747455247,25.77
1040,0.75016772,27.24
1041,0.752875611,24.01
1042,0.755587004,21.68
1043,0.758312494,21.56
1044,0.761065423,22.23
1045,0.763861425,24.79
1046,0.766718127,26.81
1047,0.769655094,27.92
1048,0.772693038,24.97
1049,0.77585344,23.08
1050,0.779158168,22.87
1051,0.782628231,22.32
1052,0.786284,23.34
1053,0.790143952,24.41
1054,0.794224665,25.47
1055,0.798540182,25.53
1056,0.803101897,20.99
1057,0.807918482,18.57
1058,0.812995903,20.37
1059,0.818338029,22.45
1060,0.823946364,24.07
1061,0.829821758,21.75
1062,0.835963473,19.81
1063,0.842370279,21.01
1064,0.849040978,23.34
1065,0.855974153,24.4
1066,0.863168806,23.26
1067,0.870623194,21.98
1068,0.878336042,19.57
1069,0.886305511,18.79
1070,0.894529589,19.66
1071,0.903005451,20.79
1072,0.911730304,24.45
1073,0.92070052,27.13
1074,0.929912418,24.95
1075,0.939362377,23.49
1076,0.949046411,22.36
1077,0.958961695,18.68
1078,0.969105326,17.83
1079,0.979475506,20.34
1080,0.990070969,20.28
1081,1.000891514,17.87
1082,1.011937976,20.35
1083,1.023211554,21.24
1084,1.034714542,19.63
1085,1.046449281,19.87
1086,1.05841881,22.21
1087,1.070626259,21.73
1088,1.083074577,25.3
1089,1.095767066,24.46
1090,1.108706877,23.43
1091,1.121897444,23.22
1092,1.135342643,21.02
1093,1.149047188,16.03
1094,1.163016394,15.73
1095,1.177257419,13.91
1096,1.191778049,14.73
1097,1.206586555,15.34
1098,1.221691653,16.42
1099,1.237100139,16.78
1100,1.25281547,16.97
1101,1.268835008,19.02
1102,1.285147294,19.07
1103,1.301729023,17.3
1104,1.318542451,12.93
1105,1.335533977,11.65
1106,1.352634534,12.64
1107,1.369759753,14.72
1108,1.386814982,17.11
1109,1.403700158,12.3
1110,1.420315027,7.04
1111,1.43656826,10.85
1112,1.452380568,17.94
1113,1.467691377,19.56
1114,1.482461244,22.89
1115,1.496671915,19.13
1116,1.510325849,14.57
1117,1.523443937,10.48
1118,1.536060065,8.12
1119,1.548218906,10.98
1120,1.559969664,14
1121,1.571362898,10.87
1122,1.582447454,10.96
1123,1.593266845,12.67
1124,1.603856906,10.53
1125,1.614245564,15.13
1126,1.624450952,18.85
1127,1.63448225,12.39
1128,1.644338816,12.48
1129,1.654011905,17.84
1130,1.663484231,15.82
1131,1.672732785,13.58
1132,1.68172887,12.34
1133,1.690439656,13.39
