Day,Beta
1282,0.902049921
1283,0.897658102
1284,0.893315926
1285,0.889023438
1286,0.884780213
1287,0.880586363
1288,0.87644133
1289,0.872345135
1290,0.868297257
1291,0.864297852
1292,0.860346578
1293,0.856443532
1294,0.85258922
1295,0.848784
1296,0.845029376
1297,0.841326691
1298,0.837678403
1299,0.834087379
1300,0.830558084
1301,0.827095523
1302,0.823705889
1303,0.820396423
1304,0.817175515
1305,0.814052239
1306,0.811036557
1307,0.808138557
1308,0.805368423
1309,0.802736096
1310,0.800250828
1311,0.797920793
1312,0.795752928
1313,0.793752573
1314,0.791923575
1315,0.790268227
1316,0.788786575
1317,0.787478045
1318,0.78633973
1319,0.785368346
1320,0.784559049
1321,0.783906192
1322,0.78340362
1323,0.783044666
1324,0.782822132
1325,0.782728933
1326,0.782757379
1327,0.782900102
1328,0.783149585
1329,0.783498563
1330,0.783939637
1331,0.78446576
1332,0.785070062
1333,0.785745762
1334,0.786486298
1335,0.787285306
1336,0.788137004
1337,0.789035618
1338,0.789975569
1339,0.790951595
1340,0.791959099
1341,0.792993397
1342,0.794050269
1343,0.795125738
1344,0.796216615
1345,0.797319695
1346,0.798432276
1347,0.799552202
1348,0.800677501
1349,0.801806815
1350,0.80293905
1351,0.804073468
1352,0.805210218
1353,0.80634924
1354,0.807491176
1355,0.808636665
1356,0.809787124
1357,0.810943887
1358,0.812108442
1359,0.813282505
1360,0.814467922
1361,0.81566634
1362,0.816879317
1363,0.818108484
1364,0.819354914
1365,0.820619494
1366,0.821902364
1367,0.823203869
1368,0.824523099
1369,0.825858973
1370,0.827209763
1371,0.828572907
1372,0.829945363
1373,0.831323422
1374,0.832703151
1375,0.834079966
1376,0.835448802
1377,0.836804792
1378,0.838142551
1379,0.839456797
1380,0.840742759
1381,0.841995366
1382,0.843210585
1383,0.844384305
1384,0.84551324
1385,0.846594803
1386,0.847627141
1387,0.848608963
1388,0.849539779
1389,0.850419983
1390,0.851250559
1391,0.852033414
1392,0.852771185
1393,0.853467219
1394,0.854125522
1395,0.854751371
1396,0.855350189
1397,0.855928972
1398,0.856494911
1399,0.857056558
1400,0.857623011
1401,0.858203992
1402,0.858810589
1403,0.859453775
1404,0.86014501
1405,0.860895723
1406,0.861717492
1407,0.862620942
1408,0.86361564
1409,0.864710189
1410,0.865911447
1411,0.867224142
1412,0.868650988
1413,0.87019217
1414,0.871845976
1415,0.873607911
1416,0.875471316
1417,0.877427585
1418,0.879466228
1419,0.881575599
1420,0.883742087
1421,0.885951951
1422,0.888191
1423,0.890444562
1424,0.892698705
1425,0.894939698
1426,0.897155106
1427,0.899333633
1428,0.9014652
1429,0.903542057
1430,0.905557945
1431,0.907509044
1432,0.909394003
1433,0.911213689
1434,0.912971683
1435,0.914673857
1436,0.916328713
1437,0.917947412
1438,0.919542998
1439,0.921130575
1440,0.922726989
1441,0.924350277
1442,0.92601943
1443,0.92775365
1444,0.929571971
1445,0.931493044
1446,0.933534227
1447,0.935711406
1448,0.938038856
1449,0.940528587
1450,0.94319126
1451,0.946034864
1452,0.949065655
1453,0.952288121
1454,0.955705628
1455,0.95931977
1456,0.963131666
