Day,beta
1439,0.902526292
1440,0.907676215
1441,0.912918839
1442,0.918256722
1443,0.923692259
1444,0.929227526
1445,0.934864228
1446,0.940603858
1447,0.946447822
1448,0.952396967
1449,0.958451965
1450,0.964613318
1451,0.970881505
1452,0.977256536
1453,0.983738612
1454,0.990327906
1455,0.997024514
1456,1.003828553
1457,1.010740351
1458,1.017760429
1459,1.024889377
1460,1.032127922
1461,1.03947744
1462,1.046939232
1463,1.05451495
1464,1.062206962
1465,1.070017717
1466,1.077950239
1467,1.086008202
1468,1.094195854
1469,1.102517865
1470,1.110979741
1471,1.119587898
1472,1.128349142
1473,1.137271448
1474,1.146363453
1475,1.155634761
1476,1.165095611
1477,1.174756971
1478,1.184630524
1479,1.194728309
1480,1.205062281
1481,1.215644295
1482,1.226485534
1483,1.237595699
1484,1.248982625
1485,1.260651198
1486,1.272602937
1487,1.284834753
1488,1.297338063
1489,1.310098236
1490,1.323093458
1491,1.336294987
1492,1.349666411
1493,1.363164121
1494,1.376738104
1495,1.39033245
1496,1.403887272
1497,1.41733991
1498,1.430627043
1499,1.443686008
1500,1.456456618
1501,1.468882734
1502,1.480913271
1503,1.492503047
1504,1.503612908
1505,1.514210365
1506,1.524269277
1507,1.533768784
1508,1.542694601
1509,1.551036098
1510,1.558787584
1511,1.565946731
1512,1.572514025
1513,1.578492479
1514,1.583886667
1515,1.588702722
1516,1.592947819
1517,1.596629273
1518,1.599755265
1519,1.602333773
1520,1.604372436
1521,1.605878993
1522,1.606860323
1523,1.607323408
1524,1.607274099
1525,1.606718009
1526,1.605659658
1527,1.604103348
1528,1.602053079
1529,1.599511548
1530,1.596481876
1531,1.592966405
1532,1.58896767
1533,1.58448798
1534,1.579530174
1535,1.574097211
1536,1.568193338
1537,1.56182313
1538,1.554992914
1539,1.54770992
1540,1.539983749
1541,1.531825467
1542,1.523248532
1543,1.514268561
1544,1.504903728
1545,1.495174592
1546,1.485104095
1547,1.47471791
1548,1.464043704
1549,1.453111399
1550,1.441952814
1551,1.430601109
1552,1.41909091
1553,1.407457276
1554,1.395735643
1555,1.383960995
1556,1.372168259
1557,1.360390338
1558,1.348659461
1559,1.337004575
1560,1.325453607
1561,1.314030745
1562,1.302757773
1563,1.291653059
1564,1.280732426
1565,1.27000825
1566,1.259489948
1567,1.249184186
1568,1.239095081
1569,1.229224476
1570,1.219571959
1571,1.210135297
1572,1.200910872
1573,1.191893816
1574,1.183078208
1575,1.174457599
1576,1.166024745
1577,1.157772498
1578,1.149693169
1579,1.141779705
1580,1.134024951
1581,1.126422118
1582,1.118964683
1583,1.111647172
1584,1.104463897
1585,1.09741031
1586,1.090481991
1587,1.083675401
1588,1.076987353
1589,1.070414998
1590,1.063956331
1591,1.057609043
1592,1.051371667
1593,1.04524245
1594,1.039220203
1595,1.033303423
1596,1.027490621
1597,1.021780215
1598,1.016170643
1599,1.010659928
1600,1.005245805
1601,0.999926128
1602,0.994698226
1603,0.989559206
1604,0.984506217
1605,0.979536192
1606,0.974645766
1607,0.969831689
1608,0.965090649
1609,0.960419492
1610,0.955814963
1611,0.951274027
1612,0.946793724
1613,0.942371385
1614,0.938004494
1615,0.933690754
1616,0.929427971
1617,0.925214426
1618,0.921048462
1619,0.916928568
1620,0.912853452
1621,0.908822135
1622,0.90483355
1623,0.90088692
1624,0.896981575
1625,0.893116902
1626,0.889292148
1627,0.885507074
1628,0.881761134
1629,0.878053996
1630,0.874385389
1631,0.870755201
1632,0.86716316
1633,0.863609379
1634,0.860094081
1635,0.85661731
1636,0.853179498
1637,0.849781096
1638,0.846422829
1639,0.843105219
1640,0.839829217
1641,0.836595671
1642,0.833405836
1643,0.830260656
1644,0.827161258
1645,0.824108866
1646,0.821104732
1647,0.818149854
1648,0.815245585
1649,0.812392787
1650,0.809592502
1651,0.806845649
1652,0.804152944
1653,0.801515081
1654,0.798932845
1655,0.79640667
1656,0.79393719
1657,0.791525082
1658,0.78917085
1659,0.786875378
1660,0.784639532
1661,0.782464255
1662,0.780350663
1663,0.778299906
