Day,Beta_EnsMean
1589,1.200057
1590,1.188726187
1591,1.177251995
1592,1.165640563
1593,1.153900415
1594,1.142042108
1595,1.130077384
1596,1.118020587
1597,1.105886266
1598,1.093691565
1599,1.081454225
1600,1.069193296
1601,1.056928352
1602,1.044679962
1603,1.032468729
1604,1.02031599
1605,1.008242831
1606,0.996270172
1607,0.984419011
1608,0.972709753
1609,0.961162336
1610,0.949796438
1611,0.938630015
1612,0.927681401
1613,0.916967601
1614,0.906504601
1615,0.896307573
1616,0.886390828
1617,0.876767412
1618,0.867449321
1619,0.858447537
1620,0.849771485
1621,0.8414298
1622,0.833429143
1623,0.825775079
1624,0.818471365
1625,0.811520189
1626,0.80492194
1627,0.798675798
1628,0.792778775
1629,0.787226625
1630,0.782013506
1631,0.777132064
1632,0.772574067
1633,0.768330149
1634,0.764389716
1635,0.760742113
1636,0.757375561
1637,0.754278332
1638,0.751438729
1639,0.748844787
1640,0.746484809
1641,0.744346954
1642,0.742420465
1643,0.740694277
1644,0.739158124
1645,0.737801977
1646,0.736616403
1647,0.73559203
1648,0.734720461
1649,0.733993106
1650,0.733401947
1651,0.732939012
1652,0.732596584
1653,0.732367337
1654,0.732243516
1655,0.732217863
1656,0.732282668
1657,0.732430749
1658,0.732654527
1659,0.732946388
