number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
224,,11,77,64.7,58,94,84.8,62,18.16666667,2014
225,,12,72,62.1,50,93,85.8,73,16.72222222,2014
226,,13,60,52.6,48,86,61.6,42,11.44444444,2014
227,,14,61,52.7,42,89,61.6,39,11.5,2014
228,,15,51,45.6,40,83,70.8,56,7.555555556,2014
229,,16,55,47.3,36,79,54.2,31,8.5,2014
230,,17,65,54.2,40,73,44.7,26,12.33333333,2014
231,,18,70,60.8,46,63,44.9,30,16,2014
232,,19,75,67.9,58,68,60,49,19.94444444,2014
233,,20,85,74.4,65,90,67.1,49,23.55555556,2014
234,,21,83,67.8,62,97,74.7,28,19.88888889,2014
235,,22,76,64.3,57,83,59.2,29,17.94444444,2014
236,,23,80,69.1,57,81,45.5,24,20.61111111,2014
237,,24,80,69.6,61,66,50.6,33,20.88888889,2014
238,,25,80,68.5,63,93,80.8,62,20.27777778,2014
239,,26,79,71.2,65,93,79.5,62,21.77777778,2014
240,,27,82,72,64,93,75.7,51,22.22222222,2014
241,,28,83,71.3,60,96,75.4,50,21.83333333,2014
242,,29,85,75.6,65,76,63.5,49,24.22222222,2014
243,,30,86,78.3,70,84,65.9,46,25.72222222,2014
244,,31,86,77.7,71,84,69.9,51,25.38888889,2014
245,6,1,89,76.5,66,90,71.1,45,24.72222222,2014
246,,2,85,73.5,64,90,66.6,38,23.05555556,2014
247,,3,83,71.6,62,90,65.7,42,22,2014
248,,4,80,70.7,65,90,75.9,56,21.5,2014
249,,5,74,67.2,61,90,75.6,61,19.55555556,2014
250,,6,85,74.3,61,93,68.3,40,23.5,2014
251,,7,74,67.3,62,90,83.4,64,19.61111111,2014
252,,8,71,63.9,59,87,76.1,61,17.72222222,2014
253,,9,75,67.2,59,90,70.2,50,19.55555556,2014
254,,10,74,68.2,61,78,60.7,51,20.11111111,2014
255,,11,82,72.5,59,83,57.7,38,22.5,2014
256,,12,76,69.5,62,76,51,35,20.83333333,2014
257,,13,77,66.7,52,71,44.5,25,19.27777778,2014
258,,14,83,72.7,59,67,52.4,44,22.61111111,2014
259,,15,83,74.9,69,76,60,39,23.83333333,2014
260,,16,89,78.2,65,87,68.8,52,25.66666667,2014
261,,17,87,67.9,0,90,69.8,0,19.94444444,2014
262,,18,89,80.8,70,87,74.6,61,27.11111111,2014
