number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
255,,11,73,66.8,63,100,90.7,71,19.33333333
256,,12,79,68.6,63,93,79.4,56,20.33333333
257,,13,72,66.3,60,81,58.7,36,19.05555556
258,,14,73,64,53,62,48.2,34,17.77777778
259,,15,82,70.4,56,80,63.1,49,21.33333333
260,,16,83,75.6,68,91,78.2,65,24.22222222
261,,17,88,79.9,70,84,67.9,53,26.61111111
262,,18,88,76.3,71,91,78.7,57,24.61111111
263,,19,87,73.9,68,97,82.9,59,23.27777778
264,,20,83,75.5,69,93,80.8,63,24.16666667
265,,21,86,76.1,66,97,69.7,41,24.5
266,,22,86,78,70,81,64.5,48,25.55555556
267,,23,87,74.4,67,97,79.8,57,23.55555556
268,,24,77,71.9,69,100,87.5,76,22.16666667
269,,25,83,71.7,64,100,83.7,51,22.05555556
270,,26,86,75.9,67,90,67.3,41,24.38888889
271,,27,86,77.6,70,81,66.5,49,25.33333333
272,,28,82,75.9,71,90,79.2,65,24.38888889
273,,29,81,76.3,71,90,78.2,69,24.61111111
274,,30,85,73.6,67,96,85.2,69,23.11111111
275,,1,85,76.2,66,96,73.7,44,24.55555556
276,,2,78,71.2,63,93,73.5,52,21.77777778
277,,3,72,63.7,60,93,76.2,47,17.61111111
278,,4,78,67.6,54,86,54.7,36,19.77777778
279,,5,78,69.8,60,75,55.7,40,21
280,,6,82,72.7,64,90,69.3,58,22.61111111
281,,7,79,73.7,69,87,76.3,64,23.16666667
282,,8,81,73.7,68,96,78.3,54,23.16666667
283,,9,80,71.5,62,90,66.5,45,21.94444444
284,,10,80,70.3,61,83,59.3,39,21.27777778
285,,11,81,72.4,61,78,56.6,41,22.44444444
286,,12,78,72.9,67,91,77.8,62,22.72222222
287,,13,84,78.2,74,85,76.7,65,25.66666667
288,,14,84,72.3,66,100,84.2,53,22.38888889
289,,15,69,63.1,56,97,67.8,52,17.27777778
290,,16,72,63,53,93,68.5,46,17.22222222
