Day,Beta,temp
745,1.10093987,12.78
746,1.098955512,14.44
747,1.096999407,9.56
748,1.0950737,5.78
749,1.093180537,8.56
750,1.091321945,16.39
751,1.089499712,19.06
752,1.087715983,19.39
753,1.085972548,19.39
754,1.084271073,19.33
755,1.082613468,16.06
756,1.08100152,7.39
757,1.079436779,12.33
758,1.077921152,12.94
759,1.07645607,12.11
760,1.07504344,6.61
761,1.073684812,10.33
762,1.072381854,11.78
763,1.071136475,11.72
764,1.069950223,14.22
765,1.068824649,13.94
766,1.06776154,15.5
767,1.066762686,18.5
768,1.065829754,11.72
769,1.064964414,8.17
770,1.064168334,5
771,1.063443303,5.56
772,1.062790871,7.72
773,1.062212706,14.94
774,1.061710477,9.94
775,1.061285853,5.67
776,1.060940266,9.33
777,1.060675383,12.78
778,1.060492516,10.61
779,1.060393095,15.22
780,1.060378313,13.78
781,1.060449719,6.61
782,1.060608268,5.33
783,1.060854912,0.78
784,1.061190486,-1.89
785,1.061615944,4.61
786,1.062131882,6.72
787,1.062738657,10.17
788,1.063436627,15.44
789,1.064225912,7.22
790,1.065106392,2.83
791,1.066077471,3.44
792,1.06713891,5.11
793,1.068289757,5.61
794,1.069528818,1.72
795,1.070854783,0.61
796,1.072266102,0.83
797,1.073760509,1
798,1.075335741,5
799,1.076989174,3.94
800,1.078717589,8.28
801,1.08051753,9.22
802,1.082385302,11
803,1.084316254,10.61
804,1.086305857,17.33
805,1.088348866,16.94
806,1.090439558,9.61
807,1.092571855,5.83
808,1.094739318,7.89
809,1.096934438,0.83
810,1.099149942,-0.17
811,1.101377487,-1.33
812,1.103608727,7.5
813,1.105834365,10.33
814,1.10804522,5.72
815,1.110230684,13
816,1.112380981,5.06
817,1.114484668,5.17
818,1.116530895,7.94
819,1.118507862,4.39
820,1.120403528,3.22
821,1.122205973,0.56
822,1.123902559,-0.61
823,1.125480652,-1.28
824,1.126927733,-1.06
825,1.128230691,0.22
826,1.129377127,-0.94
827,1.130354404,-1.44
828,1.131149769,-1.11
829,1.131751537,2.06
830,1.132147789,5.61
831,1.132327199,8.11
832,1.132279396,0.17
833,1.131994247,-13.89
834,1.131462812,-4.39
835,1.130676746,-7
836,1.129629135,-4.83
837,1.128313899,6.33
838,1.12672627,3.06
839,1.124862909,-3.06
840,1.12272191,-12.11
841,1.120303154,-13.72
842,1.117607355,-8.06
843,1.114637852,-8.5
844,1.111398935,-7.5
845,1.107897162,-4.17
846,1.104140282,-6.61
847,1.100138068,-0.28
848,1.095901728,3.39
849,1.091444254,0.11
850,1.086780071,1.17
851,1.081924558,4.06
852,1.076895237,2.11
853,1.071709871,7.39
854,1.066387296,10
855,1.060947537,5.17
856,1.055410624,8.5
857,1.049797297,1.94
858,1.04412818,-1.94
859,1.038423777,-1.28
860,1.032705069,3.39
861,1.026991606,5.44
862,1.021303177,-3.72
863,1.015658021,-7.61
864,1.010074139,-8.61
865,1.0045681,-5.39
866,0.9991557,-4.94
867,0.993851185,-9.11
868,0.988667786,-6.11
869,0.983617246,-1.67
870,0.978710175,0.5
871,0.97395575,2.5
872,0.969361544,5.44
873,0.964934528,13.28
874,0.960679889,14
875,0.956601858,6.67
876,0.952703178,4.56
877,0.948986173,4.94
878,0.945451736,2.5
879,0.94209981,2.83
880,0.938929558,-0.22
881,0.93593955,7.22
882,0.933127403,12.22
883,0.930490315,8.39
884,0.928024769,2.11
885,0.925726831,-0.72
886,0.923591971,3.44
887,0.921615601,3.11
888,0.919792473,3.22
889,0.918117225,7.22
890,0.916584253,14.5
891,0.915187716,17.72
892,0.913921416,16
893,0.912779391,9.56
894,0.911755323,9.39
895,0.910842955,12.78
896,0.910035849,13.56
897,0.909327507,13.11
898,0.908711553,17.22
899,0.908181727,11.94
900,0.907731235,10.28
901,0.907354057,6.89
902,0.907043636,5.94
903,0.906793892,5
904,0.906598508,7.06
905,0.906451523,14.06
906,0.906346858,16.61
907,0.906278849,11.39
908,0.906241477,4.89
909,0.906229258,9.78
910,0.906236947,8.67
911,0.90625906,8.56
912,0.906290591,10.06
913,0.906326592,13.72
914,0.906362355,15.72
915,0.906393707,8.33
916,0.906415999,6.06
917,0.906425476,13.33
918,0.906418204,9.11
919,0.906390846,6
920,0.906340122,10.17
921,0.906263113,7.39
922,0.906157017,6.17
923,0.906019509,3.28
924,0.905848622,10.44
